Task_ID,Task_Description,Created_Date,Deadline,Est. Hours,Category,Priority,Class,Assigned_To
1,Purpose offer personal whether also line point.,2025-04-30,2025-05-02,5.08,Bug,Low,Support,U05
2,Increase Mrs name happy movie always through say.,2025-02-19,2025-02-20,7.79,Feature,Low,Admin,U01
3,Carry success next time.,2025-03-03,2025-03-09,4.76,Bug,High,Technical,U07
4,Heart owner character and education region.,2025-02-22,2025-02-23,5.2,Feature,High,Support,U03
5,Generation them product other.,2025-01-06,2025-01-12,2.63,Improvement,Medium,Research,U09
6,Sure back public action.,2025-05-10,2025-05-15,6.67,Feature,Medium,Admin,U04
7,Financial street mission think as high.,2025-02-26,2025-02-28,6.13,Feature,High,Support,U06
8,Nor Mrs series laugh single back author.,2025-04-23,2025-04-30,8.24,Feature,Low,Research,U01
9,Evening such list traditional half college.,2025-04-22,2025-05-02,8.54,Bug,Medium,Admin,U09
10,Order set treatment purpose.,2025-05-10,2025-05-13,3.29,Improvement,Medium,Technical,U09
11,Cause health party.,2025-02-04,2025-02-05,4.74,Feature,Medium,Admin,U07
12,Vote newspaper nearly current would.,2025-02-10,2025-02-13,8.99,Feature,Medium,Research,U10
13,Very fall could sort record everyone.,2025-05-02,2025-05-10,8.58,Bug,Low,Research,U02
14,Benefit enjoy building part group cultural in.,2025-01-01,2025-01-06,6.33,Improvement,High,Research,U09
15,Campaign enter agency area list strong along.,2025-05-25,2025-05-28,3.51,Improvement,High,Support,U05
16,Receive president indeed bit become within study.,2025-03-10,2025-03-16,4.5,Improvement,High,Technical,U10
17,Financial visit dinner drug heavy change.,2025-02-17,2025-02-24,3.19,Improvement,Medium,Research,U05
18,Plan citizen hundred thank chair physical.,2025-01-05,2025-01-07,6.66,Bug,High,Technical,U08
19,Hair economic wonder under million brother responsibility stuff.,2025-03-09,2025-03-16,8.73,Bug,High,Admin,U09
20,Memory law central throughout.,2025-03-09,2025-03-15,1.4,Bug,High,Research,U01
21,Could center school free hundred drug usually look.,2025-01-05,2025-01-12,1.6,Bug,Low,Support,U02
22,Tough card prove main from picture.,2025-05-13,2025-05-18,5.96,Feature,Low,Support,U07
23,American type itself eye protect run cut.,2025-02-09,2025-02-13,3.56,Bug,Medium,Research,U05
24,Receive somebody agreement control.,2025-02-05,2025-02-13,6.07,Improvement,High,Technical,U06
25,Particular establish hotel thank dream.,2025-03-14,2025-03-20,8.56,Bug,Low,Admin,U04
26,Full involve respond wonder reality authority white.,2025-05-09,2025-05-18,8.24,Improvement,High,Research,U06
27,Plan tree dark thus.,2025-02-26,2025-03-05,9.05,Feature,Medium,Research,U03
28,Environmental budget relate firm environment ago oil wish.,2025-03-02,2025-03-06,4.95,Improvement,High,Support,U06
29,Lawyer describe woman bed maybe let likely discuss.,2025-01-03,2025-01-08,8.34,Improvement,High,Admin,U09
30,Between hot himself.,2025-03-05,2025-03-15,1.18,Feature,High,Technical,U05
31,International structure along according four between exactly.,2025-05-04,2025-05-13,3.54,Improvement,Low,Support,U08
32,On soldier culture owner.,2025-05-06,2025-05-11,5.77,Bug,High,Admin,U03
